가식부 100g 당 (Per 100g Edible Portion),일반성분 Proximates,,,,무기질 Minerals,,,,,,,
식품명,칼로리,단백질,지방,"탄수
화물",칼슘,나트륨,철,인,칼륨,비타민 B1,비타민 B2,비타민 C
,kcal,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg
,,,,,,,,,,,,
식품명,Energy,Protein,Fat,Carbohydrate,Calcium,Sodium,Iron,P,K,VitaminB1,VitaminB2,VitaminC
"고둥, 비단고둥, 생것",94,17,1.2,2.8,70,0,25.4,161,0,0.03,0.15,2
"고둥, 세고리물레고둥, 생것",74,15,0.1,2.4,163,0,1.6,170,0,0,0,0
"고둥, 위고둥, 생것",66,11.2,1.5,1.1,144,0,3.7,161,0,0.01,0.09,2
"고둥, 조각매물고둥, 생것",125,17.7,3.6,4.4,87,0,1.8,145,0,0.02,0.1,2
"고둥, 콩깍지고둥, 생것",100,19.7,0.5,3,77,0,2.3,140,0,0.03,0.13,2
"고둥, 털탑고둥, 생것",143,20.7,3.7,5.5,128,0,3.5,115,0,0.02,0.11,2
"고둥, 피뿔고둥, 생것",109,17.9,0.2,8,77,0,3.3,147,0,0.04,0.25,4
"고들빼기, 생것",29,1.6,0.5,5.8,82,34,10.8,37,451,0.09,0.09,7
"고들빼기, 이고들빼기, 생것",39,2.5,0.4,8.2,128,57,4.8,39,531,0.13,0.17,15
"고등어, 구운것",318,25.2,22.4,0.4,10,120,1.6,280,370,0.3,0.37,0
"고등어, 남해, 생것",210,21.06,13.34,0,12,25,0.71,290,329,0.18,0.46,1
"고등어, 반건조",348,18.7,28.5,0.2,25,680,2,200,300,0.13,0.59,0
"고등어, 삶은것",309,22.6,22.6,0.3,7,94,1.3,210,280,0.25,0.3,0
"고등어, 생것",180,20.2,10.4,0,26,75,1.6,232,310,0.18,0.46,1
"고등어, 서해, 생것",278,20.26,21.23,0,13,30,1.02,303,332,0.18,0.46,1
"고등어, 자반고등어, 염장",251,18.99,16.14,6.36,31,340,1.09,206,292,0.112,0.186,5.73
"고등어, 통조림",159,16.3,9.9,0.1,167,890,1.1,267,280,0.08,0.26,0
