172,8.8,0.86,32.38,49,0,3.11,281,730,0.449,0.124,2.12
108,17,3.9,0.1,51,0,1.3,156,0,0.05,0.1,1
106,14,5.1,0,730,0,10.1,397,0,0.12,0.29,0
75,16.1,0.4,0.7,11,69,0.5,175,249,0.12,0.07,0
53,10.5,0.2,1.6,29,0,5.5,144,0,0.05,0.12,2
27,2.98,0.41,4.51,183,46,0.83,54,541,0.067,0.12,17.5
23,2.72,0.29,3.96,133,65,1.42,56,670,0.01,0.158,6.47
659,19.8,58.5,13.4,312,0,3.7,784,967,0.07,0.22,0
684,13.6,69.3,13.9,130,35,3,320,610,0.26,0.28,0
286,17.7,2,63.2,92,0,2.2,119,0,0.02,0.04,1
44,3.62,0.57,8.54,187,2,0.88,80,191,0.032,0.279,19.45
41,3.94,0.32,7.95,200,3,1.47,74,204,0.051,0.477,19.45
53,4.11,0.8,10.17,179,3,1.07,102,579,0,0.333,38.08
53,4.17,0.52,10.91,181,2,1.26,102,659,0.056,0.67,38.08
51,3.41,0.79,10.24,228,7,0.8,70,556,0,0.278,57.74
50,3.12,0.44,10.75,226,9,0.77,67,661,0.078,0.284,57.74
47,4.28,0.69,8.64,243,4,0.82,90,247,0.03,0.274,58.63
44,3.59,0.36,9.12,259,4,0.99,88,264,0.074,0.606,58.63
